Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily Return
2018-04-06,40.747329038033364,41.10720645849522,40.08715313161209,40.13005447387695,140021200,0.0,0.0,0.0
2018-04-09,40.48754901669248,41.25258717683554,40.48039939924303,40.5280647277832,116070800,0.0,0.0,0.9918009310586395
2018-04-10,41.23113170365062,41.46946194471219,40.88078595835965,41.290714263916016,113634400,0.0,0.0,1.8817812823171742
2018-04-11,41.04761674293286,41.45039543555505,40.921302005044716,41.0976676940918,89726400,0.0,0.0,-0.46753022626426777
2018-04-12,41.328850437288594,41.70779467035925,41.24066576993354,41.502830505371094,91557200,0.0,0.0,0.9858535386852108
2018-04-13,41.65537656440346,41.908006143125036,41.43373109362666,41.64345932006836,100497200,0.0,0.0,0.338841503061027
2018-04-16,41.71494961225922,41.9914136164437,41.667284282448826,41.90323257446289,86313600,0.0,0.0,0.6238032541867833
2018-04-17,42.06290635366184,42.64681472803525,42.04383949761879,42.479984283447266,106421600,0.0,0.0,1.3763895373930302
2018-04-18,42.37749775339178,42.618213613924716,42.15585238434776,42.384647369384766,83018000,0.0,0.0,-0.224427846833386
2018-04-19,41.412262868130554,41.80074233876447,41.15010177550597,41.183467864990234,139235200,0.0,0.0,-2.8339966920714943
2018-04-20,40.659150591175774,40.8069142132956,39.42697974125738,39.496097564697266,261964400,0.0,0.0,-4.097203047165898
2018-04-23,39.76063519562793,39.782084044878886,39.10760901537266,39.381690979003906,146062000,0.0,0.0,-0.2896655435538964
2018-04-24,39.48417485060321,39.641473699427905,38.42360589103898,38.833534240722656,134768000,0.0,0.0,-1.391907570889972
2018-04-25,38.75727048963324,39.424596027126796,38.707223165384406,39.002750396728516,113528400,0.0,0.0,0.435747503580064
2018-04-26,39.114768725154946,39.49848066394883,38.936020995343476,39.13860321044922,111852000,0.0,0.0,0.3483159837161187
2018-04-27,39.08616505812666,39.16481448518817,38.28299319595915,38.68577194213867,142623200,0.0,0.0,-1.1569939424656117
2018-04-30,38.64049181630547,39.863123754348564,38.57137399437725,39.3864631652832,169709600,0.0,0.0,1.8112375376470036
2018-05-01,39.66054573268237,40.32548566347658,39.38884933863514,40.30165481567383,214277600,0.0,0.0,2.323619784163089
2018-05-02,41.762608730386816,42.363201979235185,41.421798218133944,42.081974029541016,266157600,0.0,0.0,4.417484150489015
2018-05-03,41.91753280162102,42.30362670984225,41.57433660025476,42.15824508666992,136272800,0.0,0.0,0.18124400978758448
2018-05-04,42.48236876013853,43.91235031728204,42.463301902980874,43.812252044677734,224805200,0.0,0.0,3.9233297178463244
2018-05-07,44.13400211616933,44.72744585766996,44.03152183528881,44.12923812866211,169805600,0.0,0.0,0.7235101351583673
2018-05-08,44.088717240486375,44.38186244956893,43.77411954361241,44.341346740722656,113611200,0.0,0.0,0.4806532382048534
2018-05-09,44.4605136968083,44.66309224934599,44.14353399346313,44.653560638427734,92844800,0.0,0.0,0.7041146033084811
2018-05-10,44.7441291710836,45.370935349909445,44.72267668151883,45.29228591918945,111957200,0.0,0.0,1.430401678230453
2018-05-11,45.33535220004485,45.471722405799156,44.84728157260234,45.120025634765625,104848800,0.1825,0.0,-0.38033029450351696
2018-05-14,45.22052129362939,45.34493198596845,44.945385983355436,45.014766693115234,83115200,0.0,0.0,-0.23328652891829726
2018-05-15,44.68698429783126,44.756368639719355,44.285047223124366,44.60564041137695,94780800,0.0,0.0,-0.9088712700156099
2018-05-16,44.51711818548249,45.08892385595156,44.50036898247598,45.02193069458008,76732400,0.0,0.0,0.9332682579240581
2018-05-17,44.97886887487019,45.196586616325874,44.586500164753886,44.73722839355469,69176000,0.0,0.0,-0.6323635984355147
2018-05-18,44.78507974946513,44.93341315619294,44.53147606028991,44.57453918457031,73190800,0.0,0.0,-0.36365509180227296
2018-05-21,44.97886377609275,45.28271137803996,44.71808294205859,44.890342712402344,73603200,0.0,0.0,0.7084841113542018
2018-05-22,45.06978897883756,45.18941364125031,44.68698859885476,44.77790451049805,60962800,0.0,0.0,-0.25047303074661187
2018-05-23,44.58410884439457,45.098493382930066,44.442948981855,45.064998626708984,80233600,0.0,0.0,0.641151298501752
2018-05-24,45.1631037822849,45.17984933954184,44.550625990239666,45.014766693115234,92936000,0.0,0.0,-0.11146551675246252
2018-05-25,45.03389510359903,45.37362867443834,44.89513007032867,45.11763381958008,69844000,0.0,0.0,0.2285186262679817
2018-05-29,44.88316892836005,45.158304155669214,44.70851431560463,44.95494079589844,90056400,0.0,0.0,-0.36059742036169684
2018-05-30,44.91188044016436,44.97886995442708,44.68698550628747,44.85924530029297,74762000,0.0,0.0,-0.21286980676926692
2018-05-31,44.79226152551655,45.03390204359453,44.53387180139936,44.70852279663086,109931200,0.0,0.0,-0.33598983365225044
2018-06-01,44.976474869745886,45.51956812388021,44.91905372651236,45.51478576660156,93770000,0.0,0.0,1.803376447122207
2018-06-04,45.84973324396319,46.27559668304307,45.78035255697678,45.89519119262695,105064800,0.0,0.0,0.8357842833230045
2018-06-05,46.19186533979603,46.400011068158285,46.021996725960896,46.24928283691406,86264000,0.0,0.0,0.7715223209354249
