Date,Open,High,Low,Close,Volume,Dividends,Capital Gains,Daily Return
2018-03-19,11.526875249245151,11.535866777601534,11.158231161426883,11.176214218139648,798700,0.0,0.0,0.0
2018-03-20,11.18520547349696,11.203188531149424,11.086301228846558,11.104284286499023,370000,0.0,0.0,-0.6435983619916485
2018-03-21,11.122266348587267,11.472928251142338,11.122266348587267,11.383014678955078,346300,0.0,0.0,2.510115782923039
2018-03-22,11.275118743349244,11.409988242195398,11.131257715918847,11.194196701049805,292500,0.0,0.0,-1.6587695195927288
2018-03-23,11.095293185770831,11.176215233370431,10.798579582891922,10.87051010131836,1126600,0.0,0.0,-2.8915571914248206
2018-03-26,10.924456023469975,10.996386531770147,10.888490769319892,10.942439079284668,224800,0.0,0.0,0.6616890771076633
2018-03-27,11.041344868211295,11.113275386637737,10.87051010131836,10.87051010131836,409300,0.0,0.0,-0.6573395332168608
2018-03-28,10.870508297394636,10.879499825075682,10.61875152468028,10.64572525024414,425300,0.0,0.0,-2.067840873879112
2018-03-29,10.771603673391398,10.90647402199812,10.681690965132898,10.85252571105957,443500,0.0,0.0,1.9425680820636115
2018-04-02,10.82555302664061,10.93344880142687,10.699674193983611,10.879501342773438,292700,0.0,0.0,0.2485654715968843
2018-04-03,10.915465145310556,11.365031242370604,10.8974820898381,11.365031242370604,462400,0.0,0.0,4.462795529867503
2018-04-04,11.26612643624512,11.36503152887843,11.11327389079301,11.356040000915527,231500,0.0,0.0,-0.0791132137108241
2018-04-05,11.374022177513744,11.769640832328433,11.374022177513744,11.688718795776367,428600,0.0,0.0,2.9295317279088406
2018-04-06,11.688719200398715,11.724684455946925,11.42797088330438,11.454944610595703,385600,0.0,0.0,-1.9999983682141176
2018-04-09,11.544856276008488,12.120300269966322,11.445951196437594,11.760647773742676,1053800,0.0,0.0,2.6687441409729784
2018-04-10,11.91350277709386,12.129294319714097,11.859554462699116,11.994424819946287,795200,0.0,0.0,1.9877905596795031
2018-04-11,11.976441762654918,12.129294319714097,11.958459562842917,11.994424819946287,200600,0.0,0.0,0.0
2018-04-12,11.958457564062453,12.048370263052863,11.850561810786427,11.913500785827637,248100,0.0,0.0,-0.6746804063841316
2018-04-13,11.958458813868871,11.958458813868871,11.76964101153223,11.850563049316406,269400,0.0,0.0,-0.5282891875585505
2018-04-16,11.859554497301254,12.497938455858232,11.796615511556558,12.408025741577148,612900,0.0,0.0,4.704103002877136
2018-04-17,12.35407655966902,12.578859615809195,12.282146050302508,12.569868087768556,760800,0.0,0.0,1.3043359964115764
2018-04-18,12.569868470823106,12.668773567325578,12.417016776870746,12.560877799987791,385000,0.0,0.0,-0.0715225308490663
2018-04-19,12.551886472933395,12.650790713542388,12.44399070386558,12.470964431762695,274700,0.0,0.0,-0.7158207384613258
2018-04-20,12.470964928718898,12.470964928718898,12.183242866405935,12.345086097717283,316300,0.0,0.0,-1.0093712858710968
